Header,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation
27.185,-7.15968585,-5.51204052,-453.75246134,0.55764649,0.96531218,-0.77351445,-9.82570249,8.18123618,-8.65047246,-16.8222026,22.33986987,6.17718798,0,19.59165446,-9.8549462,-6.96865454,-10.83386197,-6.74413352,1.09077389,0,0,0,0
27.19,-7.14720697,-5.47255762,-453.75312806,0.55809936,0.96464884,-0.76876317,-9.8239752,8.07252283,-8.5367198,-17.34592117,22.58206842,6.31618785,0,19.54670837,-9.7567586,-6.95788747,-10.82555667,-7.06896603,0.70117726,0,0,0,0
27.195,-7.12397117,-5.42915113,-453.74214847,0.55857316,0.96399815,-0.76400529,-9.81208057,7.95822662,-8.41286007,-17.87731073,22.81672905,6.42402153,0,19.50882074,-9.64250807,-6.9236838,-10.88188797,-7.33585887,0.25535196,0,0,0,0
27.2,-7.08658378,-5.38591584,-453.72800146,0.55907676,0.96336182,-0.75924024,-9.78786367,7.82771613,-8.28827465,-18.42957499,23.03771693,6.520071,0,19.47111514,-9.50684658,-6.84577683,-11.00053006,-7.50181753,-0.27375002,0,0,0,0
27.205,-7.04426116,-5.33857215,-453.72021661,0.55958744,0.96276296,-0.75447918,-9.74947146,7.6928214,-8.13955346,-18.99560897,23.22346337,6.59871149,0,19.42783984,-9.36610777,-6.75585425,-11.15545496,-7.60776128,-0.83002243,0,0,0,0
27.21,-6.98938966,-5.28568543,-453.71003317,0.56011773,0.96219236,-0.74971679,-9.69687977,7.54690786,-7.97944386,-19.57198107,23.3823751,6.65507817,0,19.38962447,-9.20871488,-6.63700233,-11.35464038,-7.64083532,-1.42930801,0,0,0,0
27.215,-6.92155328,-5.22414063,-453.70088222,0.5606654,0.96165598,-0.74496299,-9.62111816,7.38858313,-7.80782698,-20.16753453,23.50335775,6.68400408,0,19.35678207,-9.03626951,-6.49768985,-11.58555278,-7.60544131,-2.04608244,0,0,0,0
27.22,-6.83777527,-5.15433348,-453.69122033,0.56123422,0.9611612,-0.74021622,-9.52196552,7.21451834,-7.6299727,-20.78238408,23.58195918,6.687652,0,19.32983323,-8.84514004,-6.33681305,-11.84235729,-7.50748823,-2.67625118,0,0,0,0
27.225,-6.73751967,-5.07765723,-453.6788405,0.56182676,0.96071332,-0.7354799,-9.39890839,7.02385662,-7.45269119,-21.41993961,23.61867904,6.66801698,0,19.30850179,-8.63424917,-6.15544779,-12.118882,-7.35607974,-3.31796117,0,0,0,0
27.23,-6.61678219,-4.99603319,-453.66468863,0.56244065,0.96032231,-0.73075921,-9.25205608,6.81279274,-7.27423836,-22.08129406,23.6108529,6.62640338,0,19.29270178,-8.40206784,-5.96433182,-12.41325588,-7.15940148,-3.94750387,0,0,0,0
27.235,-6.47721133,-4.90379983,-453.64821846,0.56308059,0.95998737,-0.72605886,-9.07147986,6.58216325,-7.09993428,-22.77313094,23.55195519,6.56402411,0,19.28765544,-8.15063565,-5.76779631,-12.71709875,-6.92807716,-4.5587965,0,0,0,0
27.24,-6.31650852,-4.80985021,-453.62611551,0.56374642,0.95971992,-0.72137446,-8.86615103,6.32927439,-6.9396607,-23.49655563,23.44393273,6.48687214,0,19.28398863,-7.87626805,-5.56332225,-13.02660608,-6.6683122,-5.15838859,0,0,0,0
27.245,-6.13366945,-4.71595039,-453.59908218,0.5644484,0.95952502,-0.71670756,-8.63635646,6.05150604,-6.79184795,-24.2540615,23.28622016,6.40000688,0,19.28186642,-7.58015316,-5.36637419,-13.34347665,-6.38442168,-5.71561617,0,0,0,0
27.25,-5.92540684,-4.61616879,-453.58041835,0.56515888,0.95940933,-0.71206465,-8.37008445,5.7444518,-6.6455511,-25.05368612,23.06362089,6.29737142,0,19.28270266,-7.27040109,-5.23989276,-13.6604418,-6.092308,-6.17654528,0,0,0,0
27.255,-5.71530753,-4.52615273,-453.52961633,0.56591866,0.95935385,-0.70743962,-8.09065435,5.43520077,-6.5614806,-25.88805559,22.80700868,6.20765863,0,19.27961827,-6.93988295,-4.99059051,-13.98504902,-5.75533859,-6.69866236,0,0,0,0
27.26,-5.47757809,-4.44406145,-453.48616236,0.56669268,0.95939154,-0.70283135,-7.78907492,5.09100734,-6.48865192,-26.76579431,22.48333519,6.1089936,0,19.26056136,-6.59319496,-4.82185626,-14.30213863,-5.41543422,-7.112773,0,0,0,0
27.265,-5.22245335,-4.37009678,-453.43783701,0.56749233,0.95951229,-0.69823878,-7.46639448,4.72300053,-6.4451609,-27.68633335,22.09611532,6.01170937,0,19.22166711,-6.22913804,-4.65474711,-14.60148148,-5.06641673,-7.47874885,0,0,0,0
27.27,-4.96128741,-4.30139666,-453.38618925,0.5683035,0.95970017,-0.69367689,-7.11813984,4.34347811,-6.43277422,-28.65068475,21.64592267,5.90538041,0,19.17999227,-5.86672261,-4.52809669,-14.90789999,-4.69915162,-7.7668456,0,0,0,0
27.275,-4.69010511,-4.23833048,-453.33569167,0.56912699,0.95995854,-0.68914134,-6.74293342,3.9454516,-6.44929861,-29.66200281,21.12745065,5.79665047,0,19.12147504,-5.49961497,-4.42919195,-15.19695715,-4.32866245,-7.99562616,0,0,0,0
27.28,-4.41102624,-4.1820786,-453.28699644,0.56996362,0.96028375,-0.68463178,-6.34175784,3.5298345,-6.49381079,-30.71996137,20.54228726,5.68914627,0,19.04015739,-5.12837087,-4.3476612,-15.45930313,-3.95811962,-8.17091588,0,0,0,0
27.285,-4.13077268,-4.13220624,-453.24514752,0.57079579,0.9606681,-0.68015412,-5.91363924,3.10369702,-6.56213006,-31.82377041,19.8894016,5.56875346,0,18.93598631,-4.76375187,-4.30629315,-15.6946404,-3.58658431,-8.29243982,0,0,0,0
27.29,-3.84610609,-4.08625423,-453.21115938,0.57163921,0.96109974,-0.6757172,-5.45442564,2.66242203,-6.64545685,-32.97494896,19.17656601,5.43883915,0,18.81055945,-4.39909552,-4.28490543,-15.89802539,-3.22257541,-8.36636691,0,0,0,0
